Date,Open,Close,Volume,Percent Change
"May 10, 2023",33.87,33.08,"13,587,476",-0.6009615385
"May 09, 2023",33.32,33.28,"11,839,200",-1.128936423
"May 08, 2023",33.39,33.66,"11,267,400",1.202645821
"May 05, 2023",32.32,33.26,"17,183,400",4.954244241
"May 04, 2023",32.3,31.69,"14,807,400",-2.43226601
"May 03, 2023",32.76,32.48,"13,494,400",-1.813784764
"May 02, 2023",33.2,33.08,"14,527,600",-1.19474313
"May 01, 2023",34,33.48,"16,892,300",1.331719128
"Apr 28, 2023",32.42,33.04,"15,510,700",0.97799511
"Apr 27, 2023",32.36,32.72,"19,730,100",1.551831161
"Apr 26, 2023",32.9,32.22,"18,780,900",-2.096627165
"Apr 25, 2023",33.99,32.91,"34,044,400",-4.024496938
"Apr 24, 2023",33.77,34.29,"16,836,800",2.205663189
"Apr 21, 2023",33.53,33.55,"12,351,400",0.02981514609
"Apr 20, 2023",33.28,33.54,"15,294,800",-3.007518797
"Apr 19, 2023",34.87,34.58,"11,002,300",-2.122841778
"Apr 18, 2023",35.45,35.33,"9,444,600",0.5406943654
"Apr 17, 2023",34.38,35.14,"10,248,900",1.884604233
"Apr 14, 2023",34.75,34.49,"9,155,100",-0.1158412974
"Apr 13, 2023",34.56,34.53,"16,066,200",-0.259965338
"Apr 12, 2023",35.99,34.62,"12,027,400",-2.23100819
"Apr 11, 2023",35.88,35.41,"16,410,500",-0.8956059334
"Apr 10, 2023",34.35,35.73,"11,530,400",3.295750217
"Apr 06, 2023",35,34.59,"10,068,100",-1.424907381
"Apr 05, 2023",35.27,35.09,"10,949,400",-1.818690543
"Apr 04, 2023",36.51,35.74,"11,279,900",-1.461262752
"Apr 03, 2023",36.38,36.27,"10,887,900",-1.117775354
"Mar 31, 2023",36.27,36.68,"10,867,100",1.917199222
"Mar 30, 2023",36.25,35.99,"9,300,200",0.81232493
"Mar 29, 2023",34.89,35.7,"13,290,000",4.324956166
"Mar 28, 2023",34.46,34.22,"12,214,200",-0.6676342525
"Mar 27, 2023",34.32,34.45,"11,318,400",2.195194304
"Mar 24, 2023",33.46,33.71,"11,914,300",-0.08891523414
"Mar 23, 2023",34.37,33.74,"12,585,400",-0.9104258443
"Mar 22, 2023",35.13,34.05,"12,929,700",-2.991452991
"Mar 21, 2023",34.63,35.1,"13,685,100",4.402141582
"Mar 20, 2023",33.45,33.62,"14,938,800",0.7189934092
"Mar 17, 2023",34.28,33.38,"27,743,500",-3.55388616
"Mar 16, 2023",33.85,34.61,"23,883,900",0.8156131663
"Mar 15, 2023",34.61,34.33,"17,992,100",-3.56741573
"Mar 14, 2023",36.46,35.6,"18,938,200",-0.4474272931
"Mar 13, 2023",35.62,35.76,"21,584,200",-2.081051479
"Mar 10, 2023",37.7,36.52,"14,139,400",-3.437334744
"Mar 09, 2023",39.52,37.82,"15,604,100",-4.879275654
"Mar 08, 2023",39.7,39.76,"10,674,800",0.05032712632
"Mar 07, 2023",40.22,39.74,"12,126,900",-1.755253399
"Mar 06, 2023",41.02,40.45,"9,810,000",-1.365520605
"Mar 03, 2023",40.39,41.01,"13,429,700",3.743991905
"Mar 02, 2023",38.41,39.53,"12,908,600",2.091942149
"Mar 01, 2023",38.68,38.72,"14,164,800",-0.05162622612
"Feb 28, 2023",39.21,38.74,"17,166,700",-1.450012719
"Feb 27, 2023",39.53,39.31,"17,310,600",0.3318019398
"Feb 24, 2023",38.91,39.18,"12,929,600",-0.178343949
"Feb 23, 2023",41.05,39.25,"19,930,700",-4.010760577
"Feb 22, 2023",41.23,40.89,"9,870,000",-0.583515682
"Feb 21, 2023",42.43,41.13,"12,320,100",-4.725503822
"Feb 17, 2023",43,43.17,"13,034,100",0.162412993
"Feb 16, 2023",42.39,43.1,"14,549,600",0.3492433062
"Feb 15, 2023",42.14,42.95,"11,660,100",1.225547961
"Feb 14, 2023",41.7,42.43,"13,012,400",0.9757258448
"Feb 13, 2023",40.73,42.02,"12,854,800",1.620314389
"Feb 10, 2023",41.24,41.35,"11,447,400",-0.6725918809
"Feb 09, 2023",42.09,41.63,"20,848,900",0.1443348569
"Feb 08, 2023",41.08,41.57,"12,318,500",0.4106280193
"Feb 07, 2023",41.26,41.4,"11,542,500",0.145137881
"Feb 06, 2023",40.9,41.34,"14,285,700",0.5105762217
"Feb 03, 2023",40.65,41.13,"18,566,700",-0.8915662651
"Feb 02, 2023",40.28,41.5,"28,757,000",5.597964377
"Feb 01, 2023",39.45,39.3,"25,569,500",-0.0508646999
"Jan 31, 2023",38.93,39.32,"47,396,300",8.34940755
"Jan 30, 2023",36.75,36.29,"23,596,800",-4.374176548
"Jan 27, 2023",36.58,37.95,"21,995,400",4.029605263
"Jan 26, 2023",36.99,36.48,"19,559,000",0.4405286344
"Jan 25, 2023",35.99,36.32,"13,715,600",0.3314917127
"Jan 24, 2023",36,36.2,"12,072,100",-0.6586169045
"Jan 23, 2023",35.69,36.44,"17,001,900",3.083451202
"Jan 20, 2023",35.68,35.35,"17,187,200",-1.063532046
"Jan 19, 2023",35.65,35.73,"11,403,600",-1.948408342
"Jan 18, 2023",37.06,36.44,"11,322,700",-0.4643540016
"Jan 17, 2023",36.5,36.61,"13,916,100",0.2738975623
"Jan 13, 2023",36.48,36.51,"21,242,800",-4.748238977
"Jan 12, 2023",38.14,38.33,"15,318,500",1.348492861
"Jan 11, 2023",37.35,37.82,"15,190,300",1.913230935
"Jan 10, 2023",36.14,37.11,"10,280,400",3.312917595
"Jan 09, 2023",36.53,35.92,"11,617,900",0.02784739627
"Jan 06, 2023",34.69,35.91,"9,783,500",2.6
"Jan 05, 2023",34.2,35,"11,932,000",0.893629288
"Jan 04, 2023",34.29,34.69,"11,326,300",2.572442342
"Jan 03, 2023",34.02,33.82,"11,793,300",0.5350772889
"Dec 30, 2022",33.33,33.64,"11,807,400",-0.0891000891
"Dec 29, 2022",32.82,33.67,"11,634,900",3.504457424
"Dec 28, 2022",33.32,32.53,"9,550,900",-2.370948379
"Dec 27, 2022",33.52,33.32,"9,984,400",-1.507537688
"Dec 23, 2022",33.68,33.83,"10,619,100",0.8947211452
"Dec 22, 2022",35.17,33.53,"20,227,800",-6.601671309
"Dec 21, 2022",35.72,35.9,"9,959,900",1.988636364
"Dec 20, 2022",35.26,35.2,"10,934,300",-0.6211180124
"Dec 19, 2022",36.28,35.42,"12,248,000",-2.019363762
"Dec 16, 2022",37.03,36.15,"27,530,500",-3.907496013
"Dec 15, 2022",37.79,37.62,"11,293,600",-1.929092805
"Dec 14, 2022",38.74,38.36,"11,964,600",-1.0575187
"Dec 13, 2022",39.66,38.77,"12,154,500",0.7274616784
"Dec 12, 2022",38.32,38.49,"13,873,200",0.5485893417
"Dec 09, 2022",37.85,38.28,"8,865,500",0.2094240838
"Dec 08, 2022",38.07,38.2,"8,622,500",0.6322444679
"Dec 07, 2022",37.67,37.96,"11,613,800",-0.1578116781
"Dec 06, 2022",38.93,38.02,"12,775,500",-1.985047693
"Dec 05, 2022",39.47,38.79,"7,633,200",-2.781954887
"Dec 02, 2022",39.86,39.9,"9,224,100",-1.310907742
"Dec 01, 2022",40.77,40.43,"12,335,100",-0.3205128205
"Nov 30, 2022",39.98,40.56,"14,805,900",2.037735849
"Nov 29, 2022",39.62,39.75,"10,582,400",0.9395632301
"Nov 28, 2022",39.92,39.38,"19,395,400",-2.669303015
"Nov 25, 2022",39.81,40.46,"4,615,300",0.872600349
"Nov 23, 2022",39.85,40.11,"9,097,000",0.350262697
"Nov 22, 2022",39.89,39.97,"8,394,400",1.138663968
"Nov 21, 2022",39.44,39.52,"12,281,900",-0.6286145336
"Nov 18, 2022",39.5,39.77,"22,849,200",2.924430642
"Nov 17, 2022",38.03,38.64,"26,006,900",0.4419027814
"Nov 16, 2022",39.75,38.47,"12,032,500",-4.39860835
"Nov 15, 2022",40.7,40.24,"12,390,000",0.7763586276
"Nov 14, 2022",41.01,39.93,"14,968,900",-2.893968872
"Nov 11, 2022",39.86,41.12,"13,035,200",3.472571716
"Nov 10, 2022",39.15,39.74,"20,197,600",4.414083027
"Nov 09, 2022",38.55,38.06,"10,526,200",-2.535211268
"Nov 08, 2022",39.47,39.05,"10,946,400",-0.8631632394
"Nov 07, 2022",39.36,39.39,"11,526,900",1
"Nov 04, 2022",39.39,39,"15,089,600",1.27239678
"Nov 03, 2022",37.78,38.51,"12,128,600",-0.02596053998
"Nov 02, 2022",39.22,38.52,"13,324,200",-2.109275731
"Nov 01, 2022",39.92,39.35,"10,840,600",0.2547770701
"Oct 31, 2022",38.55,39.25,"13,957,700",1.02960103
"Oct 28, 2022",38.2,38.85,"10,459,800",1.808176101
"Oct 27, 2022",38.04,38.16,"13,842,600",0.7923930269
"Oct 26, 2022",37.36,37.86,"19,638,600",2.296676574
"Oct 25, 2022",36.45,37.01,"25,537,500",3.611422172
"Oct 24, 2022",34.91,35.72,"18,575,100",2.057142857
"Oct 21, 2022",33.5,35,"14,094,700",4.66507177
"Oct 20, 2022",33.74,33.44,"13,579,800",-0.5649717514
"Oct 19, 2022",33.79,33.63,"10,311,300",-1.810218978
"Oct 18, 2022",34.78,34.25,"11,144,700",2.025618111
"Oct 17, 2022",33.7,33.57,"10,960,500",2.06749772
"Oct 14, 2022",33.07,32.89,"11,994,100",0.3968253968
"Oct 13, 2022",31.29,32.76,"17,199,800",1.739130435
"Oct 12, 2022",32.12,32.2,"10,810,300",0.3427859146
"Oct 11, 2022",32.01,32.09,"16,763,800",-0.6193868071
"Oct 10, 2022",32.38,32.29,"22,996,100",-3.955978584
"Oct 07, 2022",34.06,33.62,"11,193,900",-2.916546347
"Oct 06, 2022",34.58,34.63,"11,435,800",-0.6027554535
"Oct 05, 2022",34.38,34.84,"18,679,400",-2.681564246
"Oct 04, 2022",34.2,35.8,"19,811,700",8.913903255
"Oct 03, 2022",32.46,32.87,"14,697,300",2.430663758
"Sep 30, 2022",32.93,32.09,"16,159,900",-3.517739026
"Sep 29, 2022",34.01,33.26,"14,825,100",-5.645390071
"Sep 28, 2022",34.75,35.25,"12,046,200",1.555747623
"Sep 27, 2022",35.55,34.71,"13,541,700",-0.9417808219
"Sep 26, 2022",35.1,35.04,"16,777,700",-1.240135287
"Sep 23, 2022",36.47,35.48,"17,888,900",-5.082932049
"Sep 22, 2022",37.81,37.38,"13,519,700",-0.7961783439
"Sep 21, 2022",39.16,37.68,"20,455,600",-3.533026114
"Sep 20, 2022",40.23,39.06,"25,401,500",-5.629379077
"Sep 19, 2022",39.5,41.39,"13,267,700",3.552664498
"Sep 16, 2022",40.06,39.97,"20,899,600",-1.696999508
"Sep 15, 2022",40.57,40.66,"15,193,900",0.0984736583
"Sep 14, 2022",40.74,40.62,"15,239,200",0.222057735
"Sep 13, 2022",40.6,40.53,"14,841,600",-3.614744352
"Sep 12, 2022",41.66,42.05,"16,332,900",1.84063938
"Sep 09, 2022",40.75,41.29,"12,912,900",1.950617284
"Sep 08, 2022",39.45,40.5,"15,754,700",0.9723261032
"Sep 07, 2022",38.52,40.11,"15,832,400",3.616636528
"Sep 06, 2022",38.81,38.71,"19,717,300",0.6238627502
"Sep 02, 2022",39.32,38.47,"10,860,500",-0.2334024896
"Sep 01, 2022",37.81,38.56,"11,370,800",0.9159905784
"Aug 31, 2022",39.2,38.21,"15,390,300",-2.351137235
"Aug 30, 2022",39.76,39.13,"15,090,600",-0.9617818274
"Aug 29, 2022",38.77,39.51,"13,408,900",0.7137394851
"Aug 26, 2022",40.75,39.23,"16,179,500",-2.871998019
"Aug 25, 2022",39.36,40.39,"15,211,900",2.904458599
"Aug 24, 2022",38.61,39.25,"12,710,300",1.789419087
"Aug 23, 2022",38.96,38.56,"15,394,400",0.02594033722
"Aug 22, 2022",38.24,38.55,"20,921,400",-2.896725441
"Aug 19, 2022",39.24,39.7,"23,306,500",2.530991736
"Aug 18, 2022",38.33,38.72,"7,004,100",0.8333333333
"Aug 17, 2022",38.19,38.4,"10,656,700",-1.513208515
"Aug 16, 2022",38.95,38.99,"13,944,400",-1.040609137
"Aug 15, 2022",38.88,39.4,"9,626,400",-0.2026342452
"Aug 12, 2022",38.83,39.48,"8,905,300",2.652106084
"Aug 11, 2022",38.69,38.46,"10,221,400",1.343873518
"Aug 10, 2022",37.69,37.95,"10,663,300",3.631895139
"Aug 09, 2022",37.27,36.62,"12,752,200",-2.502662407
"Aug 08, 2022",36.62,37.56,"17,398,800",4.159733777
"Aug 05, 2022",35.92,36.06,"10,878,600",-0.4692243997
"Aug 04, 2022",37.02,36.23,"16,882,100",-2.894666309
"Aug 03, 2022",36.79,37.31,"16,047,700",3.265983947
"Aug 02, 2022",36.32,36.13,"13,124,000",-1.740549361
"Aug 01, 2022",36.06,36.77,"12,224,200",1.406508549
"Jul 29, 2022",35.75,36.26,"14,375,900",1.454952434
"Jul 28, 2022",35.01,35.74,"11,802,100",3.056516724
"Jul 27, 2022",34.02,34.68,"12,292,800",4.019196161
"Jul 26, 2022",34.03,33.34,"14,533,000",-3.418308227
"Jul 25, 2022",34.86,34.52,"14,782,700",-0.4326507067
"Jul 22, 2022",35.17,34.67,"13,616,700",-1.309422146
"Jul 21, 2022",34.76,35.13,"10,857,400",1.064441887
"Jul 20, 2022",34.18,34.76,"10,110,600",1.046511628
"Jul 19, 2022",33.35,34.4,"13,186,300",5.456774985
"Jul 18, 2022",33.3,32.62,"12,679,300",-0.7605719501
"Jul 15, 2022",32.25,32.87,"12,982,900",4.051915163
"Jul 14, 2022",31.15,31.59,"14,450,400",-0.4098360656
"Jul 13, 2022",30.85,31.72,"16,196,700",0.6026006977
"Jul 12, 2022",30.92,31.53,"19,773,400",2.137998056
"Jul 11, 2022",31.91,30.87,"17,121,600",-4.456824513
"Jul 08, 2022",32.69,32.31,"11,765,200",-1.071647275
"Jul 07, 2022",32,32.66,"14,022,900",4.445155101
"Jul 06, 2022",32.05,31.27,"17,101,100",-3.398208217
"Jul 05, 2022",31.11,32.37,"19,646,200",0.5591798695
"Jul 01, 2022",31.28,32.19,"21,175,000",1.353904282
"Jun 30, 2022",32.59,31.76,"20,144,800",-5.052316891
"Jun 29, 2022",33.8,33.45,"11,426,700",-1.58870256
"Jun 28, 2022",35.19,33.99,"15,197,100",-1.848108576
"Jun 27, 2022",34.99,34.63,"10,443,100",-0.5456634118
"Jun 24, 2022",33.11,34.82,"18,401,600",5.547135496
"Jun 23, 2022",32.92,32.99,"14,410,100",0.4873591228
"Jun 22, 2022",32.19,32.83,"14,974,100",0.5821078431
"Jun 21, 2022",32.83,32.64,"16,627,600",2.383939774
"Jun 17, 2022",31.45,31.88,"23,649,700",1.464035646
"Jun 16, 2022",32.85,31.42,"22,783,200",-8.074897601
"Jun 15, 2022",33.36,34.18,"19,116,000",2.951807229
"Jun 14, 2022",32.67,33.2,"17,891,000",2.850061958
"Jun 13, 2022",33.86,32.28,"23,202,000",-7.797772065
"Jun 10, 2022",35.73,35.01,"15,875,500",-4.474761255
"Jun 09, 2022",37.48,36.65,"9,306,500",-2.759352613
"Jun 08, 2022",38.34,37.69,"10,210,300",-1.772217879
"Jun 07, 2022",37.22,38.37,"14,517,600",1.427438541
"Jun 06, 2022",38.35,37.83,"11,029,000",0.584950811
"Jun 03, 2022",38.09,37.61,"11,670,500",-3.241574479
"Jun 02, 2022",38.4,38.87,"10,735,500",1.567807682
"Jun 01, 2022",39.01,38.27,"12,190,800",-1.059979317
"May 31, 2022",38.61,38.68,"19,857,900",0.285195748
"May 27, 2022",37.8,38.57,"15,684,100",3.073222875
"May 26, 2022",36.38,37.42,"14,568,400",4.002223457
"May 25, 2022",34.9,35.98,"15,409,500",2.186878728
"May 24, 2022",35.53,35.21,"16,717,000",-2.194444444
"May 23, 2022",35.93,36,"19,959,800",1.694915254
"May 20, 2022",37.01,35.4,"24,408,000",-1.993355482
"May 19, 2022",35.38,36.12,"15,545,100",0.8093776165
"May 18, 2022",37.5,35.83,"19,255,700",-5.958005249
"May 17, 2022",38.03,38.1,"15,505,700",2.69541779
"May 16, 2022",38.01,37.1,"16,512,200",-2.904998691
"May 13, 2022",36.18,38.21,"22,997,300",7.452193476
"May 12, 2022",35.46,35.56,"43,172,200",-4.588140596
"May 11, 2022",38.78,37.27,"18,050,800",-3.695090439
"May 10, 2022",39.39,38.7,"20,206,400",1.150026137
"May 09, 2022",38.98,38.26,"18,508,800",-3.335017686
"May 06, 2022",39.79,39.58,"14,684,900",-0.9261576971